individual	population
A1012	1
A1019	1
A1028	1
A1029	1
A1030	1
A1037	1
A1051	1
A1054	1
A1073	1
A1074	1
A1077	1
A1079	1
A1084	1
A1088	1
A1097	1
A1108	1
A1113	1
A1123	1
A1125	1
A1132	1
A1133	1
A1148	1
A1155	1
A1158	1
A1Af	1
A1Nisa	1
A2001	2
A2004	2
A2008	2
A2016	2
A2019	2
A2021	2
A2026	2
A2029	2
A2030	2
A2031	2
A2034	2
A2038	2
A2040	2
A2041	2
A2043	2
A2044	2
A2045	2
A2046	2
A2047	2
A2056	2
A2057	2
A2059	2
A2060	2
A2061	2
A2062	2
A2064	2
A2065	2
A2066	2
A2067	2
A2069	2
A2073	2
A2074	2
A2076	2
A2079	2
A2080	2
A2084	2
A2085	2
A2087	2
A2091	2
A2096	2
A2100	2
A2101	2
A2113	2
A2117	2
A2118	2
A2119	2
A2123	2
A2124	2
A2131	2
A2141	2
A2142	2
A2147	2
A2154	2
A2156	2
A2158	2
A2164	2
A2255	2
A2lintless	2
A2NC501	2
A2NC503	2
A26872	2
A26873	2
A26874	2
A26875	2
A26876	2
A26877	2
A26878	2
A26879	2
A26880	2
A26881	2
A26882	2
A26883	2
A26884	2
A26885	2
A26886	2
A26887	2
A26888	2
A26889	2
A26890	2
A26891	2
A26892	2
A26893	2
A26894	2
A26895	2
A26896	2
A26897	2
A26898	2
A26899	2
A26900	2
A26901	2
A26902	2
A26903	2
A26904	2
A26905	2
A26906	2
A26907	2
A26908	2
A26909	2
A26910	2
A26911	2
A26912	2
A26913	2
A26914	2
A26915	2
A26916	2
A26917	2
A26918	2
A26919	2
A26920	2
A26921	2
A26922	2
A26923	2
A26924	2
A26925	2
A26926	2
A16927	1
A16928	1
A26929	2
A26930	2
A26931	2
A26932	2
A26933	2
A26934	2
A26935	2
A26936	2
A26937	2
A26938	2
A26939	2
A26940	2
A26941	2
A26942	2
A26943	2
A26944	2
A26945	2
A26946	2
A26947	2
A26948	2
A26949	2
A26950	2
A26951	2
A16952	1
A16953	1
A16954	1
A16955	1
A16956	1
A16957	1
A16958	1
A16959	1
A26960	2
A16961	1
A16962	1
A26963	2
A26964	2
A26965	2
A26966	2
A26967	2
A26968	2
A26969	2
A26970	2
A26971	2
A26972	2
A26973	2
A26974	2
A26975	2
A26976	2
A26977	2
A26978	2
A16979	1
A16980	1
A16981	1
A26982	2
A26983	2
A26984	2
A26985	2
A26986	2
A26987	2
A26988	2
A26989	2
A26990	2
A26991	2
A26992	2
A26993	2
A26994	2
A26995	2
A26996	2
A26997	2
A26998	2
A26999	2
A27000	2
A27001	2
A27002	2
A27003	2
A27004	2
A27005	2
A27006	2
A27007	2
A27008	2
A27009	2
A27010	2
A27011	2
A27012	2
A27013	2
A27014	2
A27015	2
A27016	2
A27017	2
A27018	2
A27019	2
A27020	2
A27021	2
A27022	2
A27023	2
A27024	2
A27025	2
A27026	2
A27027	2
A27028	2
A27029	2
A27030	2
A27031	2
A27032	2
A27033	2
A27034	2
A27035	2
A27036	2
A27037	2
A27038	2
A27039	2
A27040	2
A27041	2
A27042	2
A27043	2
A27044	2
A27045	2
A27046	2
A27047	2
A27048	2
A27049	2
A27050	2
A27051	2
A27052	2
A27053	2
A27054	2
A27055	2
A27056	2
A27057	2
A27058	2
A27059	2
A27060	2
A27061	2
A27062	2
A27063	2
A27064	2
A27065	2
A27066	2
A27067	2
A27068	2
A27069	2
A27070	2
A27071	2
A27072	2
A27073	2
A27074	2
A27075	2
A27076	2
A27077	2
A27078	2
A27079	2
A27080	2
A27081	2
A27082	2
A27083	2
A27084	2
A27085	2
A27086	2
A27087	2
A27088	2
A27089	2
A27090	2
A27091	2
A27092	2
A27093	2
A27094	2
A27095	2
A27096	2
A27097	2
A27098	2
A27099	2
A27100	2
A27101	2
A27102	2
A27103	2
A27104	2
A27105	2
A27106	2
A27107	2
A27108	2
A27109	2
A27110	2
A27111	2
A27112	2
A27113	2
A27114	2
A2Gar42	2
A2Gar43	2
A2Gar40	2
A2Gar41	2
A2Gar38	2
A2Gar39	2
A2Gar36	2
A2Gar37	2
A2Gar56	2
A2Gar57	2
A2Gar58	2
A2Gar59	2
A2Gar60	2
A2Gar61	2
A2Gar44	2
A2Gar45	2
A2Gar34	2
A2Gar35	2
A2Gar32	2
A2Gar33	2
A2Gar30	2
A2Gar31	2
A2Gar03	2
A2Gar04	2
A2Gar01	2
A2Gar02	2
A2Gar65	2
A1Ghe01	1
A2Gar66	2
A1Ghe02	1
A2Gar55	2
A2Gar54	2
A2Gar53	2
A2Gar52	2
A2Gar51	2
A2Gar50	2
A2Gar49	2
A2Gar48	2
A2Gar47	2
A2Gar46	2
A2Gar62	2
A2Gar63	2
A2Gar64	2
