individual	population
A1019	1
A1028	1
A1030	1
A1051	1
A1054	1
A1073	1
A1074	1
A1077	1
A1079	1
A1084	1
A1088	1
A1097	1
A1108	1
A1125	1
A1132	1
A1133	1
A1155	1
A1Af	1
A1Nisa	1
SRR8283996Ghe01	1
SRR8283998Ghe02	1
A2001	2
A2004	2
A2008	2
A2016	2
A2019	2
A2021	2
A2026	2
A2029	2
A2030	2
A2031	2
A2034	2
A2040	2
A2041	2
A2043	2
A2044	2
A2045	2
A2046	2
A2047	2
A2056	2
A2057	2
A2059	2
A2060	2
A2061	2
A2062	2
A2064	2
A2065	2
A2066	2
A2067	2
A2069	2
A2073	2
A2074	2
A2076	2
A2079	2
A2080	2
A2084	2
A2085	2
A2087	2
A2091	2
A2096	2
A2100	2
A2101	2
A2113	2
A2117	2
A2118	2
A2119	2
A2123	2
A2124	2
A2131	2
A2141	2
A2142	2
A2147	2
A2154	2
A2156	2
A2158	2
A2164	2
A2255	2
A2lintless	2
A2NC503	2
SRR8283969Gar42	2
SRR8283970Gar43	2
SRR8283971Gar40	2
SRR8283972Gar41	2
SRR8283973Gar38	2
SRR8283974Gar39	2
SRR8283975Gar36	2
SRR8283976Gar37	2
SRR8283977Gar56	2
SRR8283978Gar57	2
SRR8283979Gar58	2
SRR8283980Gar59	2
SRR8283981Gar60	2
SRR8283982Gar61	2
SRR8283983Gar44	2
SRR8283984Gar45	2
SRR8283985Gar34	2
SRR8283986Gar35	2
SRR8283987Gar32	2
SRR8283988Gar33	2
SRR8283989Gar30	2
SRR8283990Gar31	2
SRR8283991Gar03	2
SRR8283992Gar04	2
SRR8283993Gar01	2
SRR8283994Gar02	2
SRR8283995Gar65	2
SRR8283997Gar66	2
SRR8283999Gar55	2
SRR8284000Gar54	2
SRR8284001Gar53	2
SRR8284002Gar52	2
SRR8284003Gar51	2
SRR8284004Gar50	2
SRR8284005Gar49	2
SRR8284006Gar48	2
SRR8284007Gar47	2
SRR8284008Gar46	2
SRR8284009Gar62	2
SRR8284010Gar63	2
SRR8284011Gar64	2
