sample.id	species	origin	source
A1_012	Gossypium herbaceum	new	jfw
A1_019	Gossypium herbaceum	new	jfw
A1_028	Gossypium herbaceum	new	jfw
A1_029	Gossypium herbaceum	new	jfw
A1_030	Gossypium herbaceum	new	jfw
A1_037	Gossypium herbaceum	new	jfw
A1_051	Gossypium herbaceum	new	jfw
A1_054	Gossypium herbaceum	new	jfw
A1_073	Gossypium herbaceum	new	jfw
A1_074	Gossypium herbaceum	new	jfw
A1_077	Gossypium herbaceum	new	jfw
A1_079	Gossypium herbaceum	new	jfw
A1_084	Gossypium herbaceum	new	jfw
A1_088	Gossypium herbaceum	new	jfw
A1_097	Gossypium herbaceum	new	jfw
A1_108	Gossypium herbaceum	new	jfw
A1_113	Gossypium herbaceum	new	jfw
A1_123	Gossypium herbaceum	new	jfw
A1_125	Gossypium herbaceum	new	jfw
A1_132	Gossypium herbaceum	new	jfw
A1_133	Gossypium herbaceum	new	jfw
A1_148	Gossypium herbaceum	new	jfw
A1_155	Gossypium herbaceum	new	jfw
A1_158	Gossypium herbaceum	new	jfw
A1_Af	Gossypium herbaceum	new	jfw
A1_Nisa	Gossypium herbaceum	new	jfw
A2_001	Gossypium arboreum	new	jfw
A2_004	Gossypium arboreum	new	jfw
A2_008	Gossypium arboreum	new	jfw
A2_016	Gossypium arboreum	new	jfw
A2_019	Gossypium arboreum	new	jfw
A2_021	Gossypium arboreum	new	jfw
A2_026	Gossypium arboreum	new	jfw
A2_029	Gossypium arboreum	new	jfw
A2_030	Gossypium arboreum	new	jfw
A2_031	Gossypium arboreum	new	jfw
A2_034	Gossypium arboreum	new	jfw
A2_038	Gossypium arboreum	new	jfw
A2_040	Gossypium arboreum	new	jfw
A2_041	Gossypium arboreum	new	jfw
A2_043	Gossypium arboreum	new	jfw
A2_044	Gossypium arboreum	new	jfw
A2_045	Gossypium arboreum	new	jfw
A2_046	Gossypium arboreum	new	jfw
A2_047	Gossypium arboreum	new	jfw
A2_056	Gossypium arboreum	new	jfw
A2_057	Gossypium arboreum	new	jfw
A2_059	Gossypium arboreum	new	jfw
A2_060	Gossypium arboreum	new	jfw
A2_061	Gossypium arboreum	new	jfw
A2_062	Gossypium arboreum	new	jfw
A2_064	Gossypium arboreum	new	jfw
A2_065	Gossypium arboreum	new	jfw
A2_066	Gossypium arboreum	new	jfw
A2_067	Gossypium arboreum	new	jfw
A2_069	Gossypium arboreum	new	jfw
A2_073	Gossypium arboreum	new	jfw
A2_074	Gossypium arboreum	new	jfw
A2_076	Gossypium arboreum	new	jfw
A2_079	Gossypium arboreum	new	jfw
A2_080	Gossypium arboreum	new	jfw
A2_084	Gossypium arboreum	new	jfw
A2_085	Gossypium arboreum	new	jfw
